file;x;y;lat;lon;alt
DJI_20250814101108_0001_V.JPG;1540;3903;39.119738949;8.714602131;147.9
DJI_20250814101120_0003_V.JPG;1237;3814;39.119738949;8.714602131;147.9
DJI_20250814101510_0004_V.JPG;2091;3431;39.116555692;8.737110772;363.2
DJI_20250814101517_0005_V.JPG;7068;3817;39.116555692;8.737110772;363.2
DJI_20250814101527_0006_V.JPG;3182;4165;39.116555692;8.737110772;363.2
DJI_20250814101539_0007_V.JPG;4467;3218;39.116555692;8.737110772;363.2
DJI_20250814101736_0008_V.JPG;3834;2829;39.124715;8.738878239;248
DJI_20250814101752_0009_V.JPG;5869;4137;39.124715;8.738878239;248
DJI_20250814101812_0010_V.JPG;3395;1591;39.124715;8.738878239;248
DJI_20240908125348_0046_V.JPG;1407;1232;39.342685;8.404890;293
